word,definition
oaza,Loc cu izvoare de apa si cu vegetatie bogata in mijlocul unui desert.
oblic,Inclinat fata de o dreapta sau fata de un plan.
ocol,Miscare in jurul unui punct fix sau de jur-imprejurul unui loc; deplasare in spatiu care nu urmeaza calea cea mai dreapta.
ocru,Culoare galbena-bruna.
ogar,"Caine de vanatoare cu botul lung, cu corpul inalt, subtire si zvelt, cu picioare lungi, foarte iute la fuga."
olar,Mestesugar care face si vinde oale si alte obiecte din lut ars.
omat,"Nea, ninsoare, zapada."
opac,"Prin care nu poate trece lumina, lipsit de transparenta."
opal,"Piatra semipretioasa, cu luciu sticlos, incolora sau variat colorata (verde, albastru, rosu, alb etc.), transparenta sau opalescenta."
opus,"Care este asezat in fata cuiva sau a ceva, in partea dimpotriva."
orar,Program al unei activitati impartit pe ore si repetat periodic.
oras,"Forma complexa de asezare umana, avand multiple dotari edilitare, de obicei cu functie administrativa, industriala, comerciala, politica si culturala."
orca,"Delfin foarte mare, feroce, care ataca indeosebi focile."
orez,"Planta alimentara din familia gramineelor, cu tulpina dreapta, cu frunze liniare alungite si cu spice mici, cultivata in terenuri umede pentru fructele ei cu seminte foarte hranitoare."
otel,"Aliaj de fier cu carbon (si cu alte elemente), folosit pentru rezistenta, duritatea, tenacitatea si elasticitatea lui."
otet,"Lichid cu gust acru, obtinut prin fermentarea acetica a vinului, a berii."
oval,Care are forma alungita asemanatoare cu a oului de gaina.
ovaz,"Numele mai multor plante erbacee de nutret din familia gramineelor, cu paiul drept si cu inflorescenta ramificata."
oxid,Compus al oxigenului cu alt element chimic.
ozon,"Corp gazos de culoare albastruie, cu miros caracteristic, a carui molecula se compune din trei atomi de oxigen."
palma,"Partea interioara a mainii, cuprinsa intre articulatia pumnului si varful degetelor."
pata,"Portiune pe corpul animalelor sau al pasarilor, unde parul sau penele sunt de alta culoare fata de rest."
paun,"Pasare domestica mare, cu penajul masculului stralucitor, albastru-verzui si cu coada foarte lunga, pe care o poate rasfira in forma de evantai."
pila,"Generator de curent electric continuu, fara piese in miscare, care transforma energia dezvoltata de un agent chimic, termic sau luminos in energie electrica."
pion,"Fiecare dintre cele saisprezece piese de cea mai mica valoare de la jocul de sah, asezate, la inceputul partidei, inaintea celorlalte piese."
pipa,"Ustensila pentru fumat, formata dintr-o parte mai groasa si scobita, in care se pune tutunul, si dintr-un tub (curbat) prin care se trage fumul."
plic,"Obiect confectionat dintr-o hartie impaturita in chip special si lipita pe trei parti, pentru a inchide o scrisoare, un act."
plop,"Nume dat mai multor specii de arbori inalti, cu ramuri subtiri (indreptate in sus), cu scoarta neteda, alb-cenusie si cu frunzele oval-lanceolate."
plus,"Semn grafic in forma de cruce, care indica operatia de adunare."
