word,definition
perie,"A (se) curata de praf, de scame, de noroi cu ajutorul periei."
perla,"Piatra semipretioasa, aproximativ sferica, de culoare argintie, cu luciu sidefiu, produsa de anumite scoici, de unde este extrasa si folosita ca podoaba."
perna,"Obiect confectionat din doua bucati dreptunghiulare sau patrate de tesatura de bumbac, lana cusute intre ele, avand in interior fulgi, lana, puf."
peste,"Clasa de animale vertebrate acvatice, cu corpul de obicei alungit, cu pielea acoperita cu solzi si bogata in secretii mucoase."
piele,Tesut conjunctiv-epitelial care acopera intreaga suprafata a corpului animalelor vertebrate si a celor mai multe dintre nevertebrate.
pilot,Persoana calificata care conduce o aeronava.
piper,"Planta tropicala din familia piperaceelor, cu tulpina lunga si subtire, taratoare sau agatatoare, ale carei fructe, in forma de boabe."
pisic,Pui de pisica.
pisoi,Pui de pisica; (in special) cotoi.
pista,Fasie de teren amenajata ca drum si rezervata unei circulatii speciale.
pizza,"Tart din aluat, garnisita cu rosii, ciuperci, cascaval, sunca, peste."
pluta,"Specie de plop ale carui ramuri cresc aproape de la baza trunchiului, dand coroanei o forma de piramida lunga si ingusta."
polen,"Pulbere, de obicei galbena, constituita din grauncioare microscopice produse de anterele staminelor."
pranz,Masa principala care se ia la amiaza; timpul cand se ia aceasta masa.
pudra,Material solid prefacut in pulbere.
punte,"Pod ingust (format adesea dintr-o barna) asezat peste un sant, peste o rapa sau peste o apa, care poate fi trecut numai cu piciorul."
rabla,"Lucru vechi, uzat sau de calitate proasta."
radar,"Sistem de radiolocatie in care, cu ajutorul unui tub catodic si al unei aparaturi anexe, se determina directia si distanta la care se afla diverse obiecte indepartate."
regim,"Sistem de organizare si de conducere a vietii economice, politice si sociale a unui stat; forma de guvernamant a unui stat."
rubin,"Varietate de corindon foarte dur, de culoare rosie, care se gaseste in natura cristalizata sau se obtine sintetic, folosita ca piatra pretioasa."
sabie,Arma alba formata dintr-o lama lunga de otel ascutita la varf si pe una dintre laturi si fixata intr-un maner.
sacou,Haina (barbateasca) mai lejera.
safir,"Varietate de corindon de culoare albastra, transparenta, folosita ca piatra pretioasa."
salon,Incapere intr-o locuinta destinata primirii musafirilor.
satin,"Tesatura deasa de matase, de bumbac, de fibre sintetice, cu una dintre fete lucioase, folosita mai ales pentru captuseli de imbracaminte."
sauna,"Baie de aburi care consta in expunerea corpului la o temperatura de 60-80 grade C, produsa prin stropirea unor pietre poroase incinse."
scaun,"Mobila (de lemn, de metal etc.), cu sau fara speteaza, pe care poate sa stea o singura persoana."
sclav,"Persoana lipsita de orice drepturi, aflata in proprietatea deplina a unui stapan pentru care munceste."
sarpe,"Ordin de reptile (veninoase si neveninoase) lipsite de membre, cu corpul cilindric, adaptate la tarare prin miscari ondulatorii."
sigla,"Prescurtare conventionala formata din litera initiala sau din grupul de litere initiale folosite in inscriptii, in manuscrise."
siret,"Bentita ingusta de bumbac, matase pentru a lega sau a strange incaltamintea sau diferite obiecte de imbracaminte."
sirop,"Solutie densa, obtinuta din zahar si apa sau din suc de fructe ori de plante, folosita ca bautura racoritoare (in amestec cu sifon)."
soare,"Corp ceresc central al sistemului nostru planetar, incandescent si luminos, in jurul caruia graviteaza si se invartesc Pamantul si celelalte planete ale sistemului."
sofer,Persoana calificata pentru a conduce un autovehicul.
somaj,Existenta unui numar de persoane fizice aflate in situatia de somer.
somon,"Peste teleosteean rapitor marin din familia salmonidelor, lung de 1-1,5 m si cu greutatea de 25-30 kg, cu carnea de culoare roz, foarte gustoasa."
sotie,Femeie casatorita considerata in raport cu barbatul ei.
spuma,Strat albicios care se formeaza la suprafata unui lichid agitat.
steag,"Bucata de panza (de matase, de stofa etc.) cu una sau cu mai multe culori, de obicei prevazuta cu o stema sau cu o emblema."
sudor,Muncitor specializat in operatii de sudura.
sunca,Pulpa de porc preparata special (la sare si la fum) pentru a se putea conserva multa vreme.
susan,"Planta erbacee din tarile calde cu frunze mari, dantelate si cu flori galbene, cultivata pentru semintele sale oleaginoase, comestibile."
tabla,"Tava sau masuta pe care isi poarta marfa placintarii, rahagiii."
tacam,"Serviciu de masa complet, care se asaza in dreptul fiecarui mesean."
talon,"Parte a unei foi dintr-un registru, dintr-un chitantier, dintr-un bonier care ramane la cotor dupa ce s-a rupt partea detasabila."
talpa,"Partea inferioara (putin concava) a labei piciorului, la om si la unele animale, de la degete pana la calcai, care vine in atingere cu pamantul si pe care se sprijina corpul."
tapet,"Hartie, panza, matase etc. cu desene colorate, care se aplica pe peretii unor camere in loc de zugraveala."
tarif,"Pret (stabilit oficial) pentru prestarile de servicii, transport, telefon, radio, consum de energie electrica."
tenis,"Joc sportiv care se practica cu mingi mici, lovite cu rachete de catre doi sportivi sau doua perechi, pe un teren special amenajat, despartit in doua printr-o plasa joasa."
tigru,"Mamifer carnivor din familia felidelor, de talie mare, cu blana de culoare galbena-roscata cu dungi negre, transversale."
toner,Pulbere de grafit folosita la copiatoare si imprimante laser pentru reproducerea documentelor.
topor,"Unealta pentru taiat copaci, pentru despicat lemne, formata dintr-un corp de otel cu tais la un capat si cu un orificiu la partea opusa, in care se fixeaza o coada de lemn tare."
toxic,"Care are proprietatea de a intoxica, de a otravi."
trusa,Geanta sau cutie speciala in care se tin instrumente sau obiecte de prima necesitate.
tupeu,"Indrazneala, cutezanta care intrece limita cuvenita."
tutun,"Frunze de tutun, care, supuse unui tratament special, se fumeaza, se prizeaza sau se mesteca."
unchi,"Barbat considerat in raport cu copiii fratilor si surorilor sale, in raport cu copiii fratilor si surorilor sotiei sale sau in raport cu copiii verilor si verisoarelor sale."
unghi,Figura formata din doua semidrepte care pleaca din acelasi punct.
unica,"Care este unul singur, numai unul in genul, de felul sau."
urban,"Care tine de oras, privitor la oras."
uzura,Degradare a unui obiect (prin intrebuintare indelungata).
vaduv,(Persoana) care si-a pierdut sotul sau sotia prin deces si nu s-a recasatorit.
vagon,"Vehicul de mari dimensiuni (propulsat sau autopropulsat), care circula pe sine servind la transportul persoanelor, al marfurilor."
